5593,<start>,-
5594,ائله,ADV
5595,اونا,PRON
5596,گؤرهده,POSTP
5597,یاخشی,ADJ
5598,بودور,VERB
5599,اؤزوو,PRON
5600,چوخ,ADV
5601,اینجیتمه,VERB
5602,ییب,VERB
5603,ائوده,NOUN
5604,اوتوراسان,VERB
5605,.,PUNC
5606,<end>,-
5607,<start>,-
5608,بیر,DET
5609,باشقا,ADJ
5610,اؤرت,NOUN
5611,باسیر,NOUN
5612,تزه‌لیک‌ده,ADV
5613,اوزه,NOUN
5614,چیخیب,VERB
5615,،,PUNC
5616,او,PRON
5617,دابیر,CONJ
5618,دوشونجه‌ده,NOUN
5619,اولان,ADJ
5620,کیمسه‌لرین,PRON
5621,،,PUNC
5622,او,PRON
5623,دوشونجه‌ده,NOUN
5624,اولماق‌لارینی,NOUN
5625,اؤرت,NOUN
5626,باسیر,NOUN
5627,ائله‌ییرلر,VERB
5628,.,PUNC
5629,<end>,-
5630,<start>,-
5631,آلمانلیلار,NOUN
5632,هیتلری,NOUN
5633,قینایان,NOUN
5634,آبیده‌لرین,NOUN
5635,تیکدیریرلر,VERB
5636,،,PUNC
5637,فاشیستی,ADJ
5638,دۆشونجه‌لرینی,NOUN
5639,اؤنله‌مه‌یه,NOUN
5640,چالیشیرلار,VERB
5641,.,PUNC
5642,<end>,-
5643,<start>,-
5644,بیز,PRON
5645,ایسته‌سه‌یدیک,VERB
5646,دونیانین,NOUN
5647,گؤز,NOUN
5648,وورماسینا,NOUN
5649,تبگی,NOUN
5650,گؤرسدک,VERB
5651,ائله,ADV
5652,ایلک,ADJ
5653,گؤز,NOUN
5654,وورمالاردا,NOUN
5655,تبگی,NOUN
5656,گؤرسدردیک,VERB
5657,.,PUNC
5658,<end>,-
5659,<start>,-
5660,ارینه,NOUN
5661,اؤززونون,PRON
5662,بوش,ADJ
5663,یئرینه,NOUN
5664,گلدی,NOUN
5665,یین,NOUN
5666,،,PUNC
5667,اونو,PRON
5668,دا,CONJ
5669,یولوندان,NOUN
5670,قویدوغونو,NOUN
5671,دئدی,VERB
5672,.,PUNC
5673,<end>,-
5674,<start>,-
5675,آنالار,NOUN
5676,ایسه,CONJ
5677,قالیرلار,VERB
5678,گؤزو,NOUN
5679,یولدا,NOUN
5680,،,PUNC
5681,قولاق‌لاری,NOUN
5682,چین‌لاییر,VERB
5683,هر,DET
5684,زامان,NOUN
5685,.,PUNC
5686,<end>,-
5687,<start>,-
5688,بوندان,ADV
5689,نئچه,DET
5690,گون,NOUN
5691,اؤنجه,ADV
5692,،,PUNC
5693,تئهرانین,NOUN
5694,ارم,NOUN
5695,پارکیندا,NOUN
5696,اؤلنقافلانین,NOUN
5697,دااؤلوم,NOUN
5698,خبری,NOUN
5699,فارس,NOUN
5700,خبر,NOUN
5701,آژانس‌لارینینبیرینجی,NOUN
5702,خبرلرینده,NOUN
5703,یئرله‌شه,VERB
5704,بیلمیشدی,VERB
5705,.,PUNC
5706,<end>,-
5707,<start>,-
5708,ایش‌لرده,NOUN
5709,بو,DET
5710,قدر,POSTP
5711,باخ,VERB
5712,گؤره,NOUN
5713,نین,NOUN
5714,اوستونه,NOUN
5715,بارماق,NOUN
5716,قویولماغین,NOUN
5717,ندنی,NOUN
5718,،,PUNC
5719,هر,DET
5720,بیر,DET
5721,آددیمین,NOUN
5722,آتیلماغینا,NOUN
5723,،,PUNC
5724,باخیب,VERB
5725,گؤرمه‌یین,NOUN
5726,گرک‌لی‌یی,ADJ
5727,دیر,VERB
5728,.,PUNC
5729,<end>,-
5730,<start>,-
5731,قلعه,NOUN
5732,سنگ,NOUN
5733,باران,NOUN
5734,،,PUNC
5735,افریتلر,NOUN
5736,و,NOUN
5737,جادوگرلر,NOUN
5738,ایله,POSTP
5739,دوْلودور,VERB
5740,و,CONJ
5741,اقبال,NOUN
5742,شاه‌ین,NOUN
5743,قیزی,NOUN
5744,و,CONJ
5745,فرخ‌لقا,NOUN
5746,دا,CONJ
5747,بورادا,NOUN
5748,حبس,NOUN
5749,ائدیلمیشلر,VERB
5750,.,PUNC
5751,<end>,-
5752,<start>,-
5753,چوخ,ADV
5754,سئویرسن,VERB
5755,گئده,VERB
5756,سن,VERB
5757,هئچ,DET
5758,اولماسا,NOUN
5759,بیر,DET
5760,گونلوک,NOUN
5761,،,PUNC
5762,یئر,NOUN
5763,به,NOUN
5764,یئر,NOUN
5765,ائلی,VERB
5766,یه,VERB
5767,بیلمیرسن,VERB
5768,.,PUNC
5769,<end>,-
5770,<start>,-
5771,جی,NOUN
